horizonte,posicao_encoder,posicao_relativa_horas,rotulo_posicao,peso_medio
13,35,-12,t-12,0.020953088998794556
13,36,-11,t-11,0.020970365032553673
13,37,-10,t-10,0.020982645452022552
13,38,-9,t-9,0.020991099998354912
13,39,-8,t-8,0.02100255899131298
13,40,-7,t-7,0.021020548418164253
13,41,-6,t-6,0.021047478541731834
13,42,-5,t-5,0.021080724895000458
13,43,-4,t-4,0.021119141951203346
13,44,-3,t-3,0.021163545548915863
13,45,-2,t-2,0.021214010193943977
13,46,-1,t-1,0.021265041083097458
13,47,0,t,0.021312737837433815
14,0,-47,t-47,0.018725328147411346
14,1,-46,t-46,0.019170813262462616
14,2,-45,t-45,0.01975422538816929
14,3,-44,t-44,0.020239565521478653
14,4,-43,t-43,0.020572224631905556
14,5,-42,t-42,0.020783402025699615
14,6,-41,t-41,0.020910736173391342
14,7,-40,t-40,0.020982496440410614
14,8,-39,t-39,0.021021248772740364
14,9,-38,t-38,0.021038701757788658
14,10,-37,t-37,0.02104366011917591
14,11,-36,t-36,0.021038375794887543
14,12,-35,t-35,0.02102186530828476
14,13,-34,t-34,0.020995263010263443
14,14,-33,t-33,0.02096356824040413
14,15,-32,t-32,0.020931709557771683
14,16,-31,t-31,0.020906049758195877
14,17,-30,t-30,0.020887548103928566
14,18,-29,t-29,0.020877152681350708
14,19,-28,t-28,0.020871339365839958
14,20,-27,t-27,0.020869480445981026
14,21,-26,t-26,0.02087240479886532
14,22,-25,t-25,0.02087823860347271
14,23,-24,t-24,0.02088077925145626
14,24,-23,t-23,0.020875969901680946
14,25,-22,t-22,0.02086465433239937
14,26,-21,t-21,0.020852621644735336
14,27,-20,t-20,0.020844023674726486
14,28,-19,t-19,0.020843999460339546
14,29,-18,t-18,0.02085070312023163
14,30,-17,t-17,0.02086123824119568
14,31,-16,t-16,0.020874204114079475
14,32,-15,t-15,0.02089015580713749
14,33,-14,t-14,0.020908303558826447
14,34,-13,t-13,0.020931076258420944
14,35,-12,t-12,0.020954972133040428
14,36,-11,t-11,0.020974742248654366
14,37,-10,t-10,0.02098803035914898
14,38,-9,t-9,0.02099747397005558
14,39,-8,t-8,0.02100641466677189
14,40,-7,t-7,0.021023014560341835
14,41,-6,t-6,0.021048398688435555
14,42,-5,t-5,0.021083006635308266
14,43,-4,t-4,0.021122897043824196
14,44,-3,t-3,0.02116679772734642
14,45,-2,t-2,0.021215561777353287
14,46,-1,t-1,0.021268129348754883
14,47,0,t,0.021317364647984505
15,0,-47,t-47,0.018723532557487488
15,1,-46,t-46,0.019170956686139107
15,2,-45,t-45,0.01975446194410324
15,3,-44,t-44,0.020238274708390236
15,4,-43,t-43,0.020567167550325394
15,5,-42,t-42,0.020776914432644844
15,6,-41,t-41,0.020904922857880592
15,7,-40,t-40,0.020977793261408806
15,8,-39,t-39,0.02101665921509266
15,9,-38,t-38,0.02103472501039505
15,10,-37,t-37,0.021038109436631203
15,11,-36,t-36,0.02103312872350216
15,12,-35,t-35,0.021018611267209053
15,13,-34,t-34,0.02099507860839367
15,14,-33,t-33,0.020965633913874626
15,15,-32,t-32,0.020935798063874245
15,16,-31,t-31,0.020908616483211517
15,17,-30,t-30,0.020888714119791985
